Date,Mkt_RF,SMB,HML,RMW,CMA,Mom   ,ST_Rev,LT_Rev,RF
1994-12-31,0.0086,-0.0002,0.0054,0.0042,0.0031,0.035,0.0083,0.0012,0.0044
1995-01-31,0.018,-0.0276,0.0081,0.0061,-0.0083,-0.0182,0.0406,-0.0057,0.0042
1995-02-28,0.0363,-0.0055,0.0109,0.0058,-0.0033,-0.0036,0.0241,-0.0097,0.004
1995-03-31,0.0219,-0.0072,-0.011,-0.0033,0.0016,0.0039,-0.0012,0.0112,0.0046
1995-04-30,0.0211,-0.0034,0.0227,0.0005,0.01,0.018,-0.0055,0.0039,0.0044
1995-05-31,0.029,-0.0206,0.0172,0.0046,0.0009,-0.0044,-0.0042,-0.0111,0.0054
1995-06-30,0.0272,0.0295,-0.0228,-0.0048,-0.0244,0.029,0.0124,-0.0182,0.0047
1995-07-31,0.0372,0.021,-0.0167,0.0045,-0.017,0.0253,-0.0223,-0.009,0.0045
1995-08-31,0.0055,0.0183,0.0271,-0.0136,0.0164,0.0009,0.0131,-0.0109,0.0047
1995-09-30,0.0335,-0.0188,-0.0075,0.0133,0.0036,0.0271,-0.0084,-0.0096,0.0043
1995-10-31,-0.0152,-0.0405,-0.0074,0.0214,-0.0003,0.0411,-0.0106,0.005,0.0047
1995-11-30,0.0396,-0.0117,0.0095,-0.0083,0.0119,-0.0064,0.0056,0.0066,0.0042
1995-12-31,0.0103,0.0067,0.0087,-0.0133,0.0299,0.0254,-0.0097,0.0393,0.0049
1996-01-31,0.0226,-0.0259,0.003,-0.0064,0.0228,0.0056,0.0106,0.0136,0.0043
1996-02-29,0.0133,0.0182,-0.0142,0.004,-0.018,0.0057,0.0214,-0.0133,0.0039
1996-03-31,0.0073,0.0154,0.0101,0.013,-0.0097,-0.0187,-0.0006,-0.0023,0.0039
1996-04-30,0.0206,0.0464,-0.0391,0.0018,-0.022,-0.0091,0.0072,-0.0078,0.0046
1996-05-31,0.0236,0.0317,-0.012,0.0042,-0.0022,0.0155,-0.0105,0.0125,0.0042
1996-06-30,-0.0114,-0.0347,0.0156,0.0346,0.0109,0.0101,-0.0023,-0.0013,0.004
1996-07-31,-0.0597,-0.0368,0.0445,0.0283,0.026,-0.0011,-0.025,0.0001,0.0045
1996-08-31,0.0277,0.0255,-0.0046,-0.0029,-0.0242,-0.0005,0.0265,-0.0154,0.0041
1996-09-30,0.0501,-0.0133,-0.0315,0.0151,-0.0218,0.027,0.0055,-0.0213,0.0044
1996-10-31,0.0086,-0.0388,0.0512,0.0132,0.0298,0.0391,-0.0113,0.0007,0.0042
1996-11-30,0.0625,-0.0379,0.0116,0.0199,-0.0073,-0.0223,0.0016,-0.0243,0.0041
1996-12-31,-0.017,0.0321,0.0089,0.0056,0.0151,0.0061,0.0056,-0.0057,0.0046
1997-01-31,0.0498,-0.0182,-0.0165,0.013,-0.0028,0.0195,0.0268,-0.0159,0.0045
1997-02-28,-0.0049,-0.0253,0.052,0.0069,0.0341,-0.0205,0.0126,0.0085,0.0039
1997-03-31,-0.0502,-0.0048,0.0381,0.0036,0.0167,0.0096,0.0091,0.0207,0.0043
1997-04-30,0.0404,-0.0573,-0.0007,0.0326,-0.0089,0.0492,0.0238,-0.0405,0.0043
1997-05-31,0.0674,0.0465,-0.0387,-0.0097,-0.0291,-0.0516,0.0286,-0.022,0.0049
1997-06-30,0.041,0.0126,0.0123,0.0101,0.0054,0.0262,0.0081,0.0017,0.0037
1997-07-31,0.0733,-0.0284,0.0082,-0.0024,-0.0256,0.0381,0.0382,-0.0117,0.0043
1997-08-31,-0.0415,0.0766,0.0138,-0.0093,-0.0002,-0.0255,-0.0007,0.0316,0.0041
1997-09-30,0.0535,0.0256,0.0001,-0.0139,-0.0092,0.0145,0.0167,-0.0037,0.0044
1997-10-31,-0.038,-0.0051,0.0195,0.0109,0.0187,-0.0038,-0.0096,0.0039,0.0042
1997-11-30,0.0298,-0.0503,0.0079,0.0307,0.0166,0.0029,-0.0203,0.0101,0.0039
1997-12-31,0.0132,-0.0201,0.0345,0.0119,0.0192,0.0395,-0.0305,0.0009,0.0048
1998-01-31,0.0015,-0.0141,-0.0145,0.0046,-0.0085,0.0011,0.05,-0.0101,0.0043
1998-02-28,0.0704,-0.0002,-0.0013,-0.0086,-0.024,-0.0115,0.0187,-0.0119,0.0039
1998-03-31,0.0476,-0.0065,0.0105,-0.0102,-0.0047,0.0215,0.0183,0.0229,0.0039
1998-04-30,0.0073,-0.0002,0.0074,-0.0213,-0.0023,0.0078,0.0172,-0.0093,0.0043
1998-05-31,-0.0307,-0.0311,0.0416,0.0096,0.0254,0.0188,0.0071,0.0151,0.004
1998-06-30,0.0318,-0.0368,-0.0233,-0.0052,-0.0293,0.0726,-0.0148,-0.0071,0.0041
1998-07-31,-0.0246,-0.0532,-0.0096,0.0182,0.0045,0.0368,-0.0184,0.0041,0.004
1998-08-31,-0.1608,-0.0502,0.034,0.0347,0.0585,0.0188,-0.0266,0.045,0.0043
1998-09-30,0.0615,-0.0084,-0.0331,-0.0151,-0.0291,-0.0071,0.0279,0.002,0.0046
1998-10-31,0.0713,-0.0351,-0.0221,0.0059,0.0028,-0.0536,0.0986,-0.0419,0.0032
1998-11-30,0.061,0.0064,-0.0315,-0.0124,-0.0115,0.0116,0.0121,-0.0035,0.0031
1998-12-31,0.0616,-0.0151,-0.0446,-0.0075,-0.0333,0.0899,-0.0167,-0.0099,0.0038
1999-01-31,0.035,-0.0075,-0.0403,-0.0269,-0.0686,0.0304,-0.023,0.011,0.0035
1999-02-28,-0.0408,-0.0515,0.014,-0.0171,0.0409,-0.0016,0.0234,0.0032,0.0035
1999-03-31,0.0345,-0.0429,-0.0265,-0.042,-0.0139,-0.0129,0.0024,-0.0084,0.0043
1999-04-30,0.0433,0.0466,0.0253,-0.0242,0.0092,-0.0906,0.0244,0.0512,0.0037
1999-05-31,-0.0246,0.0373,0.024,0.0109,0.0336,-0.0528,0.0111,0.0343,0.0034
1999-06-30,0.0477,0.0225,-0.036,0.0132,-0.0337,0.0488,0.0153,0.0044,0.004
1999-07-31,-0.0349,0.0253,-0.0076,0.0048,0.0311,0.0151,0.0139,0.0187,0.0038
1999-08-31,-0.0138,-0.0193,-0.0131,-0.0029,0.0031,0.0292,-0.0323,-0.016,0.0039
1999-09-30,-0.0279,0.0256,-0.034,-0.0074,-0.0106,0.0646,-0.0084,0.0015,0.0039
1999-10-31,0.0612,-0.0709,-0.0288,-0.0171,-0.0125,0.0547,-0.0102,-0.0269,0.0039
1999-11-30,0.0337,0.059,-0.0651,-0.0385,-0.0158,0.0562,0.0017,0.0521,0.0036
1999-12-31,0.0772,0.0542,-0.0874,-0.0791,-0.0529,0.1319,-0.1396,0.0555,0.0044
2000-01-31,-0.0474,0.0415,-0.0029,-0.0605,0.0473,0.0186,0.0258,0.0178,0.0041
2000-02-29,0.0245,0.1832,-0.0993,-0.1833,-0.0051,0.1836,-0.1338,0.0759,0.0043
2000-03-31,0.052,-0.1491,0.0738,0.1168,-0.0105,-0.0639,0.0988,-0.0521,0.0047
2000-04-30,-0.064,-0.0555,0.0861,0.0755,0.0527,-0.0858,-0.0197,0.0045,0.0046
2000-05-31,-0.0442,-0.0368,0.0256,0.0463,0.0074,-0.0908,-0.087,-0.0175,0.005
2000-06-30,0.0464,0.1039,-0.0986,-0.0683,-0.0307,0.1659,0.1224,0.0239,0.004
2000-07-31,-0.0251,-0.0095,0.0806,0.06,0.0299,-0.0011,0.065,-0.0327,0.0048
2000-08-31,0.0703,-0.011,-0.0066,-0.0307,0.0061,0.057,0.0047,0.0099,0.005
2000-09-30,-0.0545,0.0023,0.0613,0.0308,0.0643,0.022,0.0251,-0.0258,0.0051
2000-10-31,-0.0276,-0.0283,0.0564,0.0966,0.0468,-0.0463,-0.0478,-0.0104,0.0056
2000-11-30,-0.1072,-0.0046,0.1126,0.1333,0.0851,-0.024,-0.146,0.0031,0.0051
2000-12-31,0.0119,0.0317,0.0737,0.0185,0.0567,0.067,-0.066,0.0282,0.005
2001-01-31,0.0313,0.058,-0.0486,-0.0444,-0.0655,-0.2505,0.1621,-0.0267,0.0054
2001-02-28,-0.1005,0.0267,0.1287,0.09,0.0956,0.1251,0.1221,0.11,0.0038
2001-03-31,-0.0726,0.0232,0.0646,0.0341,0.0393,0.0835,-0.0765,0.0381,0.0042
2001-04-30,0.0794,-0.0063,-0.0472,-0.0272,-0.0395,-0.0797,0.0987,-0.0385,0.0039
2001-05-31,0.0072,0.0358,0.0318,0.0018,0.0218,0.0212,0.0363,0.0386,0.0032
2001-06-30,-0.0194,0.0661,-0.0103,0.0203,-0.018,0.0034,0.005,0.0193,0.0028
2001-07-31,-0.0213,-0.0291,0.0557,0.0716,0.0301,0.0547,0.0128,0.0276,0.003
2001-08-31,-0.0646,0.0273,0.0251,0.0395,0.065,0.0554,-0.0392,0.0587,0.0031
2001-09-30,-0.0925,-0.0569,0.016,0.0496,0.0327,0.1154,-0.0492,-0.0012,0.0028
2001-10-31,0.0246,0.0542,-0.081,-0.0266,-0.0464,-0.0841,0.1479,-0.0156,0.0022
2001-11-30,0.0754,-0.003,0.0201,-0.0376,-0.0166,-0.0858,-0.0314,0.0029,0.0017
2001-12-31,0.0161,0.0514,0.011,0.003,-0.0029,-0.0002,0.0172,0.0118,0.0015
2002-01-31,-0.0144,0.0119,0.0333,0.0435,0.0284,0.0368,0.0155,0.0355,0.0014
2002-02-28,-0.0229,-0.0046,0.025,0.0762,0.0512,0.0676,-0.0008,0.0407,0.0013
2002-03-31,0.0424,0.0428,0.011,-0.0136,0.0061,-0.0166,0.0283,0.0209,0.0013
2002-04-30,-0.052,0.0666,0.0392,0.0457,0.0541,0.0795,0.0206,0.0614,0.0015
2002-05-31,-0.0138,-0.0307,0.0168,0.0227,0.0242,0.0297,-0.0268,0.0232,0.0014
2002-06-30,-0.0721,0.0378,0.0012,0.0362,0.0251,0.0615,-0.0336,0.0222,0.0013
2002-07-31,-0.0818,-0.0624,-0.0344,0.0419,-0.0072,0.0334,0.015,-0.0306,0.0015
2002-08-31,0.005,-0.0127,0.0252,0.0115,-0.0161,0.0176,0.0138,-0.0063,0.0014
2002-09-30,-0.1035,0.0307,0.0132,0.0324,-0.0228,0.0909,-0.0184,-0.0056,0.0014
2002-10-31,0.0784,-0.0412,-0.0545,-0.0328,0.0092,-0.053,0.0752,-0.0036,0.0014
2002-11-30,0.0596,0.029,-0.0112,-0.0913,0.0512,-0.1617,0.0021,0.0408,0.0012
2002-12-31,-0.0576,0.005,0.0223,0.0604,-0.0159,0.0964,0.1058,0.0221,0.0011
2003-01-31,-0.0257,0.0081,-0.0093,-0.0063,0.0081,0.0161,0.002,0.0041,0.001
2003-02-28,-0.0188,-0.0089,-0.0145,0.0104,-0.0055,0.0125,-0.0078,-0.0187,0.0009
2003-03-31,0.0109,0.0055,-0.0208,0.018,-0.0069,0.0161,-0.0022,-0.0261,0.001
2003-04-30,0.0822,0.0106,0.0103,-0.0457,0.0114,-0.0946,0.0309,-0.0095,0.001
2003-05-31,0.0605,0.0483,-0.0029,-0.0692,0.0322,-0.1077,-0.0144,0.0354,0.0009
2003-06-30,0.0142,0.0168,0.0068,0.0055,-0.0033,-0.0106,-0.0005,0.0145,0.001
2003-07-31,0.0235,0.0473,-0.0113,-0.0417,0.0187,-0.0031,0.0247,0.0033,0.0007
2003-08-31,0.0234,0.0254,0.0203,-0.0246,0.022,-0.0056,-0.0145,-0.0031,0.0007
2003-09-30,-0.0124,0.0052,0.0001,0.0134,0.0031,-0.0019,0.0452,0.0116,0.0008
2003-10-31,0.0608,0.0264,0.0177,-0.0159,0.0155,0.0373,0.0211,0.0199,0.0007
2003-11-30,0.0135,0.0221,0.0185,0.0008,0.0167,0.0162,-0.0148,0.0189,0.0007
2003-12-31,0.0429,-0.0269,0.0241,0,0.0097,-0.0571,0.0173,0.0212,0.0008
2004-01-31,0.0215,0.0254,0.0197,-0.0353,0.034,0.026,0.0229,0.0193,0.0007
2004-02-29,0.014,-0.0091,0.005,0.0228,-0.0134,-0.011,0.0146,-0.0295,0.0006
2004-03-31,-0.0132,0.0211,0.0022,0.015,-0.0104,0.0021,-0.0215,-0.0169,0.0009
2004-04-30,-0.0183,-0.0219,-0.0262,0.0331,-0.028,-0.0539,-0.0021,-0.0229,0.0008
2004-05-31,0.0117,-0.004,-0.0039,-0.0097,-0.0008,0.016,0.0226,0.0097,0.0006
2004-06-30,0.0186,0.0257,0.0139,0.0112,-0.0041,0.021,0.003,0.0173,0.0008
2004-07-31,-0.0406,-0.0302,0.0412,0.0508,-0.0162,-0.0229,-0.0136,-0.0245,0.001
2004-08-31,0.0008,-0.0127,0.0102,0.013,-0.0143,-0.0155,-0.0235,-0.0285,0.0011
2004-09-30,0.016,0.0329,-0.0025,-0.0134,-0.0189,0.0525,0.0304,-0.0128,0.0011
2004-10-31,0.0143,0.0029,-0.0062,-0.0007,0.004,-0.0152,0.0015,0.0097,0.0011
2004-11-30,0.0454,0.0413,0.018,-0.0106,-0.0022,0.0323,0.0147,-0.0115,0.0015
2004-12-31,0.0343,0.0001,-0.0007,-0.0126,0.0051,-0.0284,0.0091,0.0086,0.0016
2005-01-31,-0.0276,-0.0111,0.0196,0.0305,-0.0137,0.032,0.0149,-0.029,0.0016
2005-02-28,0.0189,-0.003,0.0164,0.012,-0.0006,0.0316,-0.0235,-0.0148,0.0016
2005-03-31,-0.0197,-0.014,0.0159,0.0047,0.0111,0.0054,0.0013,-0.0072,0.0021
2005-04-30,-0.0261,-0.0402,-0.0035,0.0096,-0.009,-0.0087,-0.0185,-0.015,0.0021
2005-05-31,0.0365,0.0272,-0.0081,-0.0131,0.0028,0.0044,0.0317,0.0046,0.0024
2005-06-30,0.0057,0.0326,0.0263,0.0098,-0.0053,0.0205,0.0003,-0.0152,0.0023
2005-07-31,0.0392,0.0283,-0.0051,-0.0119,-0.0098,-0.0001,-0.0011,0.0093,0.0024
2005-08-31,-0.0122,-0.0086,0.0127,-0.0223,0.0045,0.0227,-0.0144,0.0033,0.003
2005-09-30,0.0049,-0.0031,0.0076,0.0049,-0.0056,0.0346,-0.0373,-0.0006,0.0029
2005-10-31,-0.0202,-0.0141,0.0023,-0.0058,-0.0126,-0.0129,0.0158,-0.0099,0.0027
2005-11-30,0.0361,0.008,-0.0119,-0.006,-0.0119,0.0025,0.0008,0.0024,0.0031
2005-12-31,-0.0025,-0.0027,0.0044,0.0012,0.0024,0.0077,0.0196,-0.0084,0.0032
2006-01-31,0.0304,0.0577,0.0112,-0.0094,-0.0054,0.0268,-0.011,0.0115,0.0035
2006-02-28,-0.003,-0.0045,-0.0025,-0.007,0.02,-0.0184,0.0335,0.0125,0.0034
2006-03-31,0.0146,0.0345,0.006,-0.0004,-0.005,0.0126,0.0003,0.0048,0.0037
2006-04-30,0.0073,-0.0083,0.026,0.0115,-0.0025,0.0061,-0.0036,-0.0047,0.0036
2006-05-31,-0.0357,-0.0299,0.0255,0.0096,0.0134,-0.0365,-0.0003,-0.0017,0.0043
2006-06-30,-0.0035,-0.0023,0.0088,0.0138,-0.0011,0.0148,-0.0061,-0.011,0.004
2006-07-31,-0.0078,-0.0369,0.0294,0.0154,0.0093,-0.0222,0.0024,0.0139,0.004
2006-08-31,0.0203,0.0044,-0.0171,-0.0174,0.0215,-0.0346,0.0175,0.0292,0.0042
2006-09-30,0.0184,-0.0143,0.0005,0.0088,0.0053,-0.0094,0.0073,0.0174,0.0041
2006-10-31,0.0323,0.0193,-0.0004,-0.0022,0.0026,-0.0023,-0.0023,-0.0046,0.0041
2006-11-30,0.0171,0.0081,0.0007,0.0009,-0.0088,-0.0101,-0.0097,-0.0193,0.0042
2006-12-31,0.0087,-0.008,0.0315,-0.008,0.0205,0.0084,0.0239,0.0192,0.004
